,botanical_name,common_name,family,plant_type,mature_size,sun_exposure,soil_type,soil_ph,bloom_time,flower_color,hardiness_zones,native_area
824,Lilium bulbiferum,"Orange lily, Fire lily",Liliaceae,Herbaceous perennial bulb,2 to 4 ft. tall,Dappled sun,Well-drained rich loam,"Neutral (6.6 – 7.3), Slightly alkaline (7.4 – 7.8)",May to July,,"8-10, USDA",Europe
825,Cattleya,,,Perennial ,0.25–2 ft. tall and wide,Partial,"Soilless media, well-drained",Acidic,Varies by species,All colors except true blue,10–12 (USDA),"Central America, South America"
826, Epiphyllum Spp.," Orchid cacti, climbing cacti, leaf cactus", Cactaceae," Evergreen, cactus", 2 to 10 ft. tall, Partial sun, Well-drained, Acidic," Spring, summer"," Red, white, orange, yellow, pink, purple","10 - 11, USA", Central and South America
827,Origanum spp.,Oregano,Lamiaceae,"Perennial, herb",,Full sun,Well-drained,"Acidic, neutral",Summer,,4–10 (USDA),"Europe, Asia, Mediterranean"
828,Celastrus orbiculatus ,"Oriental bittersweet, Chinese bittersweet, Asian bittersweet, Asiatic bittersweet, round-leaved bittersweet",,Perennial vine,Vines can climb up to 100 feet or more up a tree and develop a seven-inch diameter,,,,May to early June,Greenish-yellow,,"China, Japan, Korea"
829,Papaver orientale,Oriental poppy,Papaveraceae,"Herbaceous, perennial","1-3 ft .tall, 1-2 ft. wide",Full,"Moist, well-drained",Neutral,"Spring, summer","Orange, red, pink, purple, white",3-9 (USDA),Asia
830,Brassica oleracea,"Ornamental cabbage, ornamental kale",Brassicaceae,Annual or biennial,12–18 inches tall and wide,Full sun,"Rich loam, medium moisture, well-draining",Slightly acidic (5.5 to 6.5),Rarely flowers,Insignificant,2–11 (USDA),Southern and Western Europe
831,"Lagenaria spp., Cucurbita spp.",Ornamental gourd,,Annual,Varies,Full sun,"Rich, well-drained",Neutral (6.5 to 6.8),Spring,"Yellow, white",3 to 10 (USDA),"Africa, North America"
832, Pennisetum glaucum, Ornamental Millet,, Ornamental Grass/ Food Crop, 4-6ft., Full Sun," Evenly moist, well-draining", Neutral Soils, July to September, Dependent on cultivar. green-to purple," 2-11, USA", Africa
833,Allium schubertii,"Schubert's allium, ornamental onion, tumbleweed onion",Amaryllidaceae,Perennial bulb ,"12–24 in. tall, 12–18 in. wide",Full,"Dry to average moisture, well-drained loam",5.5 to 7.0 (acidic to neutral),Late spring,Rosy purple,5–8 (USDA),Southern Eurasia
834,Capsicum annuum cultivars,"Ornamental pepper, Christmas pepper plant",Solanaceae,"Perennial vegetable, usually grown as an annual",,Full sun,Rich loam,Slightly acidic (6.0 to 6.8),Summer,,9-11 (USDA); generally grown as an annual,"Central America, South America"
835,Matteuccia struthiopteris,Ostrich fern,,Deciduous perennial,"3 to 6 ft. tall, 5 to 8 ft. wide",Part shade to full shade,"Rich, medium to wet clay",Acidic to neutral ,,,"3 - 7, USDA","Europe, eastern Asia, eastern North America"
836,Huernia zebrina,"Life saver plant, lifebuoy huernia, little owl eyes, owl eyes, zebra-striped huernia, carrion flower",,Perennial,"Six inches spread, six to eight inches height",Full sun to part shade,Cactus potting mix,6,Spring and summer,Cream-colored and red,9b-11,Southern Africa
837,Leucanthemum vulgare (previously known as Chrysanthemum leucanthemum),"Oxeye daisy, moon daisy, mayweed, white daisy, whiteweed, field daisy, marguerite, poorland flower",,Herbaceous perennial wildflower,"1 to 3 ft. tall, 1 to 2 ft. wide",Full sun to part shade,"Coarse and medium-textured, well-drained",Mildly acidic to neutral,May through August,White with gold yellow centers,"3 to 8, USDA",Europe to Russian Far East and Caucasus
838,Rhododendron macrophyllum,Pacific rhododendron ,,Perennial,12 to 25 feet high,Full sun to partial shade,Low nutrient; well-drained,Acidic,Spring and summer,Pink to purple,4 to 8,Western United States and Canada
839,Kalanchoe luciae,"Flapjack Succulent, Paddle Plant, Red Pancakes, Dessert Cabbage",,Evergreen succulent,Up to Two Feet,Full sun/partial sun,"Loamy, sandy",Tolerates a variety,Spring,White with a tinge of yellow,9a to 11b,South Africa
840,Cornus alternifolia,,,Deciduous flowering shrub,15 to 25 feet tall; 12- to 32-foot spread (several cultivars are smaller plants),Full sun to part shade,"Organically rich, medium-moisture, well-drained loam ",5.5 to 6.5 (acidic),Late spring,Yellowish-white,3 to 7 (USDA),Eastern North America
841,Clerodendrum paniculatum,Pagoda plant,,Tropical perennial,4 to 6 feet tall and 2 to 3 feet wide,Full to part sun,"Moist, well-draining",Acidic,Summer ,Orange-red,8 to 11,Southeast Asia
842,Echinacea pallida,"Drooping coneflower, pale purple coneflower",,Perennial,"2-4 ft. tall, 1-2 ft. wide ",Full ,Well-drained,"Neutral to acidic, alkaline","Spring, summer","Pale pink, pale purple, white",3-8 (USDA),North America
843,Arecaceae family,Palm tree,Arecaceae,Woody perennial trees and shrubs,Varies by species; miniature to towering giants,Partial shade,Moist but well-drained,Neutral to acidic,Year-round (rarely flower indoors),"Varies by species; often yellow, orange, green, pink",7-11 (USDA),"South America, the Caribbean, Asia, and more"
844,Cortaderia selloana,Pampas grass,,Perennial ,"5-10 ft. tall, 5-10 ft. wide ","Full, partial ","Loamy, moist but well-drained ","Acidic, neutral ","Summer, fall ","Pink, yellow, white ","7-10, USA ",South America 
845,Kalanchoe tomentosa,"Chocolate soldier plant, panda plant, pussy ears, velvet leaf kalanchoe, plush plant, teddy bear cactus, cocoon plant",,Succulent,2.5 ft. tall,"Bright, filtered light",Well-draining,6.1-7.8,Summer,Red,9a-11b (USDA),Madagascar
846,Hydrangea paniculata,"Tree hydrangea, panicle hydrangea, peegee hydrangea",Hydrangeaceae,Shrub,"8–15 ft. tall, 6–12 ft. wide","Full, partial","Loamy, well-drained","Acidic, neutral","Summer, fall","White, pink, green",4–8 (USDA),Asia
847,Viola x wittrockiana ,Pansy,,"Perennial, annual, biennial","4 to 8 in. tall, 4 to 6 in. wide","Full, partial",Well-drained,Slightly acidic (6.0-6.2),"Spring, summer","White, yellow, purple, blue","7, 8, 9, 10, 11","Europe, Asia"
848,Carica papaya,Papaya,,Semi-woody herbaceous perennial,,,,,,,,
849,Betula papyrifera ,,Betulaceae,Tree,"50-70 ft. tall, 25-50 ft. wide",Partial,"Sandy, loamy, moist","Acidic, neutral",Spring,"Yellow, brown (male), or green (female)",2-7 (USDA),North America
850,Acer griseum,Paperbark maple,Sapindaceae,Deciduous tree,"20–30 ft. tall, 15–25 ft. wide","Full sun, partial shade","Moist, well-drained",Neutral to acidic,Spring,Green (flowers are insignificant),"4–8, USA",China
851,Cyperus papyrus ,,,Sedge or rush,5 to 8 feet tall; 2- to 4-foot spread,Full sun to part shade,"Wet, boggy soil",6.0 to 8.5 (Slightly acidic to alkaline),Mid to late summer,Greenish-brown,9 to 10 (USDA),Africa
852,Chamaedorea elegans,"Parlor palm, Neanthe bella palm",Arecaceae,Palm,"In natural habitat, 6-16 ft. tall; as a houseplant, 2-6 ft. tall, 2-3-ft. spread","Bright, indirect light","Outdoors, any well-drained soil; indoors, use a peaty soil-based potting mix",Acidic to neutral,Spring; rarely blooms indoors,Yellow,10-12 (USDA),Rainforests of southern Mexico and Guatemala
853,Tulipa Parrot,Parrot Tulip,,Perennial,"5 inches across, 15-20 inch stems",Full sun,"Chalky, loamy, and sandy soil",6-7,Spring,Wide variety of bright colors,4-7,"France, Netherlands"
854,Agave parryi,"Parry's Agave, Century Plant",,Perennial succulent/cacti,"1 to 3 ft. tall, 2 to 3 ft. wide (up to 20 ft. with flower stalk)",Full sun,Sand or well-drained fertile loam,Slightly alkaline to slightly acidic,Summer,"Gold, light yellow, green","7b-10a, USDA",North and Central America
855,Pastinaca sativa,Parsnip,Apiaceae,"Biennial, vegetable",,"Full sun, partial sun","Loamy, moist, well-drained","Acidic, neutral (6 to 7)",Summer (second year),,2–9 (USDA),"Europe, Asia"
856,Chamaecrista fasciculata,"Sleeping plant, sensitive plant, golden cassia, locust weed ",,"Annual, short-lived perennial",2-3 ft. tall ,Full to part sun ,"Loam, clay, sand, adaptable to many soils ",Acidic to neutral ,Mid summer through fall ,Yellow ,3 - 9 (USDA) ,
857,Passiflora spp.,,Passifloraceae,Perennial vine,"6–30 ft. tall, 3–6 ft. wide","Full sun, partial shade",Moist but well-drained,Neutral to acidic,Summer,"Purple, blue, pink, red, white",5–9 (USDA),"North America, South America"
858,Bauhinia lunarioides,"Anachacho Orchid Tree, Texasplume, pata de vaca (cow hoof)",,Deciduous shrub,8 to 12 feet,Partial sun to partial shade,"Fast-draining, sandy, limestone",7.5-8.5 alkaline,March through May,"pink, white",8 to 11,
859,Pogostemon cablin,"Patchouli, pucha pot",,"Perennial, herb",Up to 5 ft. tall,Partial shade,Moist but well-drained,"Acid, neutral, alkaline",Fall,"White, with purple tones","9 - 11, USA",Asia
860,Cucurbita pepo var. clypeata,"Pattypan squash, scallop squash",Cucurbitaceae,Annual vegetable,,Full sun,"Rich, well-drained loam",Slightly acidic (6.1 to 6.5),Summer,,"2-11 (USDA, annual in all zones)",Mexico
861, Asimina triloba," Pawpaw, paw paw", Annonaceae, Tree," 15-25 ft. tall, 15 ft. wide"," Full, partial", Moist but well-drained," Acidic, neutral", Spring, Purple," 5-8, USA", North America
862,Spathiphyllum spp.,"Peace lily, spath lily",Araceae,Flowering tropical plant,1–3 ft. tall; up to 6 feet tall outdoors,Partial shade,Moist but well-drained,Acidic,Spring,White or yellow,"11–12, USA","Central America, Asia"
863,Prunus persica,Peach,Rosaceae,Fruit tree,4 to 6 ft. for dwarf trees; 25 ft. for standard trees,Full sun,"Sandy, well-draining",Acidic (6.0 to 6.5),Spring,Pink,"5a-9a, USDA",China
864,Campanula persicifolia,Peach-Leaved Bellflower,,"Herbaceous, perennial",Up to 24 inc. tall,"Full sun, partial shade","Well-drained, moist but well-drained","Acid, neutral, alkaline",Summer,"White, Lilac, Blue","3 - 7, USA","Europe, Asia"
865,Calathea Makoyana,"Peacock Plant, Cathedral Windows",,"Evergreen, Herbaceous, Perennial",Up to 4 ft. tall,"Partial Sun, Full Shade",Moist but well-drained,"Acid, Neutral, Slightly Alkaline","Anytime, but flowers are small",White,"10 - 11, USA",Brazil
866,Clerodendrum trichotomum,"Peanut butter bush, harlequin glorybower, fate tree",Verbenaceae,"Perennial, shrub","10-15 ft. tall, 10-15 ft. wide","Full, partial","Well-drained, loamy, sandy","Neutral, acidic",Summer,"White, pink",6-10 (USDA),
867,Echinopsis chamaecereus ,Peanut cactus ,,Cactus ,6 inches tall ,Full ,"Sandy, well-drained ",Acidic ,"Spring, summer ",Orange-red ,10a to 11b ,South America 
868,Arachis hypogaea,"Peanuts, goobers",,,"1–2 ft. tall, 3 ft. wide",Full sun,Sandy loam,6.0–6.5 (slightly acidic),,,,South America
869,Haworthia,"Haworthia, zebra cactus, pearl plant, star window plant, cushion aloe",Asphodelaceae,"Succulent, perennial",3–5 in. tall and wide; some species can reach 20 in. tall,"Full, partial","Sandy, well-drained",Neutral,Summer,White,"9–11, USA",Africa
870,Carya illinoinensis,,Juglandaceae,Deciduous tree,"70-100 ft. tall, 40-75 ft. wide",Full sun,"Loamy, sandy, well-drained",Neutral to acidic (6.5 to 7),Spring,Inconspicuous,"5-9, USDA",Central and east central United States and Mexico
871,Euphorbia tirucalli,,,Shrub,"20–30 ft. tall, 6–10 ft. wide (outdoors), up to 6 ft. tall, 1–3 ft. wide (indoors)",Full sun,"Sandy, well-drained","Acidic, neutral","Spring, summer",Yellow,11–12 (USDA),"Africa, Asia"
872,Pennisetum,Fountain grass,,Ornamental grass,1 to 4 feet tall,Full sun,"Loamy, sandy, clay, moist but well-drained","Acidic, neutral","Summer, fall","Pink, purple, white, tan","3-10, USDA","Asia, Africa, Australia"
873,Mentha pulegium,,,"Herbaceous, perennial","6–12 in. tall, 3–6 ft. wide","Full, partial",Moist but well-drained,Acidic,Summer,Lavender,6–9 (USDA),
874,Paeonia officinalis,Peony,,"Herbaceous perennial, or woody shrub",,Full sun,Well-draining,6.5-7.0 ,Late spring to late summer,"White, pink, rose, red, deep purple, and coral",3-9 (depending on variety),"Asia, Europe, and Western North America"
875,Peperomia spp.,"Peperomia, radiator plant",,Herbaceous perennial,Typically less than 1 foot tall and wide,Part shade,"Loamy, medium moisture, well-draining",6 to 6.6,Year-round (insignificant blooms),Usually yellow to brown,10 to 12,
876,Peperomia tetraphylla ,"Peperomia Hope, Acorn Peperomia, Four-leaved Peperomia ",Piperaceae ,Perennial ,"8 in. wide, 12 in. tall ",Partial ,Moist but well-drained ,Acidic ,"Spring, summer","Green, brown ","10-12, US ","Central America, South America"
877,Piper nigrum,Peppercorn plant,,Tropical perennial vine,10 to 30 feet,Full sun,Rich and loamy,6.0 to 7.0 (slightly acidic to neutral),Summer,White,12 (USDA),"India, Sri Lanka"
878,Mentha × piperita,Peppermint,,Herbaceous perennial,"1-2 ft. wide, 1-2 ft. tall",Full sun,Adaptable except extremely dry,Adaptable,July to August,Pink,5-9,Europe
879,Centaurea montana,,Asteraceae,Perennial,"1–2 ft. tall, 12–18 in. wide",Full,Well-drained,Neutral,"Spring, summer","Blue, white, purple",3–8 (USDA),Europe
880,Ranunculus asiaticus,"Garden ranunculus, Persian buttercup",Ranunculaceae,"Herbaceous, perennial, bulb","1-2 ft. tall, 1-2 ft. wide",Full ,"Sandy, loamy, well-drained",Acidic,"Spring, summer","White, pink, yellow, purple, red, orange",8-10 (USDA),Mediterranean 
881,Strobilanthes dyerianus,"Persian shield, royal purple plant",Acanthaceae,"Annual, perennial","3–4 ft. tall, 2–3 ft. wide","Full, partial","Rich, moist","Acidic, neutral","Fall, winter",Purple,8-11 (USDA),Asia
882,Exacum affine,,,"Annual, biennial, herbaceous","6–18 in. tall, 6–12 in. wide",Partial,"Moist, well-drained",Acidic,Seasonal,Blue-violet,10–12 (USDA),Asia
883,Alstroemeria spp.,Peruvian lily; lily of the Incas; princess lily,Alstroemeriaceae,Perennial,"1–3 ft. tall, 1–2 ft. wide","Full, partial","Rich, well-drained",Acidic (5.5-6.5),Summer,"Pink, orange, red, yellow, white, purple",7-10 (USDA),"South America (Argentina, Chile)"
884,Petunia spp.,Petunia,Solanaceae,Annual,"6–24 in. tall, up to 36 in. wide",Full sun,"Well-drained, moist",Acidic,"Spring, summer, fall","Pink, purple, yellow, red, orange, green, white",10–11 (USDA),South America
885,Phalaenopsis spp.,"Moth orchid, Phalaenopsis, phals",Orchidaceae,"Perennial, herbaceous",,,,,,,,
886,Philodendron spp.,Philodendron,Araceae,Perennial,"1–20 ft. tall, 1–6 ft. wide",Partial,"Loamy, well-drained",Acidic,,,9–11 (USA),"Central America, South America"
887,Philodendron hederaceum ‘Brasil’,"Philodendron Brasil, variegated heart leaf philodendron ",Araceae ,"Perennial, vine ","6-36 in. tall, 12-36 in. wide",Partial ,"Loamy, moist but well-drained ",Acidic ,"Spring, summer ","Green, white ","11a, 11b, 12a, 12b ",South America
888,Philodendron melanochrysum ,"Black-gold philodendron, melano plant ",Araceae ,"Perennial, vine ","3-5 ft tall, 1-2 ft wide (indoors); 12 ft tall, 8 ft wide (outdoors)",Partial ,"Loamy, moist but well-drained ",Acidic ,Summer ,"Green, white ","9a, 9b, 10a, 10b, 11a, 11b ",South America
889,Philodendron hederaceum var. hederaceum ,"Philodendron micans, velvet-leaf philodendron ",Araceae ,Perennial ,"8 in. tall, 24 in. long ",Partial ,"Loamy, moist but well-drained ",Acidic ,"Spring, summer ","Green, white ","10a, 10b, 11a, 11b ","North America, Central America "
890,Philodendron hederaceum 'Rio',Philodendron Rio,Araceae,Houseplant,"Up to 2.5 ft tall, Vines up to 20 ft, long",Partial sun,Well-drained,"Acidic, Neutral",Doesn't bloom indoors,N/a,9-11 (USDA),Central America (original species)
891,Tolmiea menziesii,"Piggyback plant, youth-on-age plant, pickaback plant",,Evergreen perennial,"1–2 ft. tall, 12–20 in. wide",Partial shade,Moist but well-drained,Neutral to acidic,"Spring, summer","Purple, purple-green",7–9 (USDA),North America
892,Pilea spp.,Pilea,,Flowering succulents; herbaceous perennials and annuals; houseplants,Up to 12 inches tall on average,Partial sun,"Average, well-draining",5 to 6,Spring,"White, pink",,Tropical and subtropical regions around the world (except for Australia and New Zealand)
893,Ananas comosus,Pineapple,,Fruit,,,,,,,,
894,Acca sellowiana,"Pineapple Guava, Feijoa",Myrtaceae,"Perennial, Tree, Shrub, Fruit","20 ft. tall, 20 ft. wide","Full, Partial","Loamy, Moist but Well-drained","Acidic, Neutral",Spring,"Red, Pink, White","8-11, USA",South America
895,Eucomis spp.,"Pineapple lily, pineapple flower",Asparagaceae,"Perennial, annual, bulb","18-36 in. tall, 18-24 in. wide","Full, partial","Loamy, well-drained","Acidic, neutral, alkaline",Summer,"Green, purple, pink, white",7-10 (USDA),Africa
896,Salvia elegans,Pineapple Sage,Lamiaceae,"Tender Perennial, Subshrub, Herbaceous","Up to 5 ft. tall, up to 3 ft. wide","Full Sun, Partial Shade","Well-drained, Moist",Neutral,"Summer, Fall",Red,8-11 (USDA),"Mexico, Guatemala"
897,Musa veutina,"Pink velvet banana, hair banana, pink banana",,Tropical perennial,Up to 6 feet tall,Full sun/ partial shade,"Prefers a fertile, moist, well-drained soil",Prefers a neutral to slightly acidic pH level,Summer,Cream to yellow with red bracts,7 to 11,Northeastern India and the Himalayas
898,Cornus florida f. rubra,"Pink dogwood, pink flowering dogwood",,Tree,"15 to 30 ft. tall, with a similar or somewhat greater spread",Partial shade,Moist but well-drained,Acidic,Spring,Pink,"5, 6, 7, 8, 9",North America
899,Jasminum polyanthum,,Oleaceae,"Vine, perennial",20 ft. tall,"Full, partial",Well-drained,"Acidic, neutral",Winter,"White, pink",8-12 (USDA),Asia
900,Muhlenbergia capillaris,"Pink muhly grass, hairawn muhly",Poaceae,Perennial,1-3 ft. tall and 2-3 ft. wide,Full to part sun,Dry and well-drained,Slightly acidic,Fall,"Pink, pinkish-red",6-9 USA,Eastern and southern North America
